PassengerId,Survived,Pclass,Sex,Age,Fare
195,1,1,female,44.0,27.72
196,1,1,female,58.0,146.52
197,0,3,male,28.0,7.75
198,0,3,male,42.0,8.4
199,1,3,female,28.0,7.75
200,0,2,female,24.0,13.0
201,0,3,male,28.0,9.5
202,0,3,male,28.0,69.55
203,0,3,male,34.0,6.5
204,0,3,male,45.5,7.22
205,1,3,male,18.0,8.05
206,0,3,female,2.0,10.46
207,0,3,male,32.0,15.85
208,1,3,male,26.0,18.79
209,1,3,female,16.0,7.75
210,1,1,male,40.0,31.0
211,0,3,male,24.0,7.05
212,1,2,female,35.0,21.0
213,0,3,male,22.0,7.25
214,0,2,male,30.0,13.0
215,0,3,male,28.0,7.75
216,1,1,female,31.0,113.28
217,1,3,female,27.0,7.92
218,0,2,male,42.0,27.0
219,1,1,female,32.0,76.29
220,0,2,male,30.0,10.5
221,1,3,male,16.0,8.05
222,0,2,male,27.0,13.0
223,0,3,male,51.0,8.05
224,0,3,male,28.0,7.9
225,1,1,male,38.0,90.0
226,0,3,male,22.0,9.35
227,1,2,male,19.0,10.5
228,0,3,male,20.5,7.25
229,0,2,male,18.0,13.0
230,0,3,female,28.0,25.47
231,1,1,female,35.0,83.48
232,0,3,male,29.0,7.78
233,0,2,male,59.0,13.5
234,1,3,female,5.0,31.39
235,0,2,male,24.0,10.5
236,0,3,female,28.0,7.55
237,0,2,male,44.0,26.0
238,1,2,female,8.0,26.25
239,0,2,male,19.0,10.5
240,0,2,male,33.0,12.28
241,0,3,female,28.0,14.45
242,1,3,female,28.0,15.5
243,0,2,male,29.0,10.5
244,0,3,male,22.0,7.12
245,0,3,male,30.0,7.22
246,0,1,male,44.0,90.0
247,0,3,female,25.0,7.78
248,1,2,female,24.0,14.5
249,1,1,male,37.0,52.55
250,0,2,male,54.0,26.0
251,0,3,male,28.0,7.25
252,0,3,female,29.0,10.46
253,0,1,male,62.0,26.55
254,0,3,male,30.0,16.1
255,0,3,female,41.0,20.21
256,1,3,female,29.0,15.25
257,1,1,female,28.0,79.2
258,1,1,female,30.0,86.5
259,1,1,female,35.0,512.33
260,1,2,female,50.0,26.0
261,0,3,male,28.0,7.75
262,1,3,male,3.0,31.39
263,0,1,male,52.0,79.65
264,0,1,male,40.0,0.0
265,0,3,female,28.0,7.75
266,0,2,male,36.0,10.5
267,0,3,male,16.0,39.69
268,1,3,male,25.0,7.78
269,1,1,female,58.0,153.46
270,1,1,female,35.0,135.63
271,0,1,male,28.0,31.0
272,1,3,male,25.0,0.0
273,1,2,female,41.0,19.5
274,0,1,male,37.0,29.7
275,1,3,female,28.0,7.75
276,1,1,female,63.0,77.96
277,0,3,female,45.0,7.75
278,0,2,male,28.0,0.0
279,0,3,male,7.0,29.12
280,1,3,female,35.0,20.25
281,0,3,male,65.0,7.75
282,0,3,male,28.0,7.85
283,0,3,male,16.0,9.5
284,1,3,male,19.0,8.05
285,0,1,male,28.0,26.0
286,0,3,male,33.0,8.66
287,1,3,male,30.0,9.5
288,0,3,male,22.0,7.9
289,1,2,male,42.0,13.0
290,1,3,female,22.0,7.75
291,1,1,female,26.0,78.85
292,1,1,female,19.0,91.08
293,0,2,male,36.0,12.88
294,0,3,female,24.0,8.85
295,0,3,male,24.0,7.9
296,0,1,male,28.0,27.72
297,0,3,male,23.5,7.23
298,0,1,female,2.0,151.55
299,1,1,male,28.0,30.5
300,1,1,female,50.0,247.52
301,1,3,female,28.0,7.75
302,1,3,male,28.0,23.25
303,0,3,male,19.0,0.0
304,1,2,female,28.0,12.35
305,0,3,male,28.0,8.05
306,1,1,male,0.92,151.55
307,1,1,female,28.0,110.88
308,1,1,female,17.0,108.9
309,0,2,male,30.0,24.0
310,1,1,female,30.0,56.93
311,1,1,female,24.0,83.16
312,1,1,female,18.0,262.38
313,0,2,female,26.0,26.0
314,0,3,male,28.0,7.9
315,0,2,male,43.0,26.25
316,1,3,female,26.0,7.85
317,1,2,female,24.0,26.0
318,0,2,male,54.0,14.0
319,1,1,female,31.0,164.87
320,1,1,female,40.0,134.5
321,0,3,male,22.0,7.25
322,0,3,male,27.0,7.9
323,1,2,female,30.0,12.35
324,1,2,female,22.0,29.0
325,0,3,male,28.0,69.55
326,1,1,female,36.0,135.63
327,0,3,male,61.0,6.24
328,1,2,female,36.0,13.0
329,1,3,female,31.0,20.52
330,1,1,female,16.0,57.98
331,1,3,female,28.0,23.25
332,0,1,male,45.5,28.5
333,0,1,male,38.0,153.46
334,0,3,male,16.0,18.0
335,1,1,female,28.0,133.65
336,0,3,male,28.0,7.9
337,0,1,male,29.0,66.6
338,1,1,female,41.0,134.5
339,1,3,male,45.0,8.05
340,0,1,male,45.0,35.5
341,1,2,male,2.0,26.0
342,1,1,female,24.0,263.0
343,0,2,male,28.0,13.0
344,0,2,male,25.0,13.0
345,0,2,male,36.0,13.0
346,1,2,female,24.0,13.0
347,1,2,female,40.0,13.0
348,1,3,female,28.0,16.1
349,1,3,male,3.0,15.9
350,0,3,male,42.0,8.66
351,0,3,male,23.0,9.22
352,0,1,male,28.0,35.0
353,0,3,male,15.0,7.23
354,0,3,male,25.0,17.8
355,0,3,male,28.0,7.22
356,0,3,male,28.0,9.5
357,1,1,female,22.0,55.0
358,0,2,female,38.0,13.0
359,1,3,female,28.0,7.88
360,1,3,female,28.0,7.88
361,0,3,male,40.0,27.9
362,0,2,male,29.0,27.72
363,0,3,female,45.0,14.45
364,0,3,male,35.0,7.05
365,0,3,male,28.0,15.5
366,0,3,male,30.0,7.25
367,1,1,female,60.0,75.25
368,1,3,female,28.0,7.23
369,1,3,female,28.0,7.75
370,1,1,female,24.0,69.3
371,1,1,male,25.0,55.44
372,0,3,male,18.0,6.5
373,0,3,male,19.0,8.05
374,0,1,male,22.0,135.63
375,0,3,female,3.0,21.08
376,1,1,female,28.0,82.17
377,1,3,female,22.0,7.25
378,0,1,male,27.0,211.5
379,0,3,male,20.0,4.01
380,0,3,male,19.0,7.78
381,1,1,female,42.0,227.52
382,1,3,female,1.0,15.74
383,0,3,male,32.0,7.92
384,1,1,female,35.0,52.0
385,0,3,male,28.0,7.9
386,0,2,male,18.0,73.5
387,0,3,male,1.0,46.9
388,1,2,female,36.0,13.0
389,0,3,male,28.0,7.73
390,1,2,female,17.0,12.0
391,1,1,male,36.0,120.0
392,1,3,male,21.0,7.8
393,0,3,male,28.0,7.92
394,1,1,female,23.0,113.28
395,1,3,female,24.0,16.7
396,0,3,male,22.0,7.8
397,0,3,female,31.0,7.85
398,0,2,male,46.0,26.0
399,0,2,male,23.0,10.5
400,1,2,female,28.0,12.65
401,1,3,male,39.0,7.92
402,0,3,male,26.0,8.05
403,0,3,female,21.0,9.82
404,0,3,male,28.0,15.85
405,0,3,female,20.0,8.66
406,0,2,male,34.0,21.0
407,0,3,male,51.0,7.75
408,1,2,male,3.0,18.75
409,0,3,male,21.0,7.78
410,0,3,female,28.0,25.47
411,0,3,male,28.0,7.9
412,0,3,male,28.0,6.86
413,1,1,female,33.0,90.0
414,0,2,male,28.0,0.0
415,1,3,male,44.0,7.92
416,0,3,female,28.0,8.05
417,1,2,female,34.0,32.5
418,1,2,female,18.0,13.0
419,0,2,male,30.0,13.0
420,0,3,female,10.0,24.15
421,0,3,male,28.0,7.9
422,0,3,male,21.0,7.73
423,0,3,male,29.0,7.88
424,0,3,female,28.0,14.4
425,0,3,male,18.0,20.21
426,0,3,male,28.0,7.25
427,1,2,female,28.0,26.0
428,1,2,female,19.0,26.0
429,0,3,male,28.0,7.75
430,1,3,male,32.0,8.05
431,1,1,male,28.0,26.55
432,1,3,female,28.0,16.1
433,1,2,female,42.0,26.0
434,0,3,male,17.0,7.12
435,0,1,male,50.0,55.9
436,1,1,female,14.0,120.0
437,0,3,female,21.0,34.38
438,1,2,female,24.0,18.75
439,0,1,male,64.0,263.0
440,0,2,male,31.0,10.5
441,1,2,female,45.0,26.25
442,0,3,male,20.0,9.5
443,0,3,male,25.0,7.78
444,1,2,female,28.0,13.0
445,1,3,male,28.0,8.11
446,1,1,male,4.0,81.86
447,1,2,female,13.0,19.5
448,1,1,male,34.0,26.55
449,1,3,female,5.0,19.26
450,1,1,male,52.0,30.5
451,0,2,male,36.0,27.75
452,0,3,male,28.0,19.97
453,0,1,male,30.0,27.75
454,1,1,male,49.0,89.1
455,0,3,male,28.0,8.05
456,1,3,male,29.0,7.9
457,0,1,male,65.0,26.55
458,1,1,female,28.0,51.86
459,1,2,female,50.0,10.5
460,0,3,male,28.0,7.75
461,1,1,male,48.0,26.55
462,0,3,male,34.0,8.05
463,0,1,male,47.0,38.5
464,0,2,male,48.0,13.0
465,0,3,male,28.0,8.05
466,0,3,male,38.0,7.05
467,0,2,male,28.0,0.0
468,0,1,male,56.0,26.55
469,0,3,male,28.0,7.72
470,1,3,female,0.75,19.26
471,0,3,male,28.0,7.25
472,0,3,male,38.0,8.66
473,1,2,female,33.0,27.75
474,1,2,female,23.0,13.79
475,0,3,female,22.0,9.84
476,0,1,male,28.0,52.0
477,0,2,male,34.0,21.0
478,0,3,male,29.0,7.05
479,0,3,male,22.0,7.52
480,1,3,female,2.0,12.29
481,0,3,male,9.0,46.9
482,0,2,male,28.0,0.0
483,0,3,male,50.0,8.05
484,1,3,female,63.0,9.59
485,1,1,male,25.0,91.08
486,0,3,female,28.0,25.47
487,1,1,female,35.0,90.0
488,0,1,male,58.0,29.7
489,0,3,male,30.0,8.05
490,1,3,male,9.0,15.9
491,0,3,male,28.0,19.97
492,0,3,male,21.0,7.25
493,0,1,male,55.0,30.5
494,0,1,male,71.0,49.5
495,0,3,male,21.0,8.05
496,0,3,male,28.0,14.46
497,1,1,female,54.0,78.27
498,0,3,male,28.0,15.1
499,0,1,female,25.0,151.55
500,0,3,male,24.0,7.8
501,0,3,male,17.0,8.66
502,0,3,female,21.0,7.75
503,0,3,female,28.0,7.63
504,0,3,female,37.0,9.59
505,1,1,female,16.0,86.5
506,0,1,male,18.0,108.9
507,1,2,female,33.0,26.0
508,1,1,male,28.0,26.55
509,0,3,male,28.0,22.52
510,1,3,male,26.0,56.5
511,1,3,male,29.0,7.75
512,0,3,male,28.0,8.05
513,1,1,male,36.0,26.29
514,1,1,female,54.0,59.4
515,0,3,male,24.0,7.5
516,0,1,male,47.0,34.02
517,1,2,female,34.0,10.5
518,0,3,male,28.0,24.15
519,1,2,female,36.0,26.0
520,0,3,male,32.0,7.9
521,1,1,female,30.0,93.5
522,0,3,male,22.0,7.9
523,0,3,male,28.0,7.22
524,1,1,female,44.0,57.98
525,0,3,male,28.0,7.23
526,0,3,male,40.5,7.75
527,1,2,female,50.0,10.5
528,0,1,male,28.0,221.78
529,0,3,male,39.0,7.92
530,0,2,male,23.0,11.5
531,1,2,female,2.0,26.0
532,0,3,male,28.0,7.23
533,0,3,male,17.0,7.23
534,1,3,female,28.0,22.36
535,0,3,female,30.0,8.66
536,1,2,female,7.0,26.25
537,0,1,male,45.0,26.55
538,1,1,female,30.0,106.42
539,0,3,male,28.0,14.5
540,1,1,female,22.0,49.5
541,1,1,female,36.0,71.0
542,0,3,female,9.0,31.28
543,0,3,female,11.0,31.28
544,1,2,male,32.0,26.0
545,0,1,male,50.0,106.42
546,0,1,male,64.0,26.0
547,1,2,female,19.0,26.0
548,1,2,male,28.0,13.86
549,0,3,male,33.0,20.52
550,1,2,male,8.0,36.75
551,1,1,male,17.0,110.88
552,0,2,male,27.0,26.0
553,0,3,male,28.0,7.83
554,1,3,male,22.0,7.22
555,1,3,female,22.0,7.78
556,0,1,male,62.0,26.55
557,1,1,female,48.0,39.6
558,0,1,male,28.0,227.52
559,1,1,female,39.0,79.65
560,1,3,female,36.0,17.4
561,0,3,male,28.0,7.75
562,0,3,male,40.0,7.9
563,0,2,male,28.0,13.5
564,0,3,male,28.0,8.05
565,0,3,female,28.0,8.05
566,0,3,male,24.0,24.15
567,0,3,male,19.0,7.9
568,0,3,female,29.0,21.08
569,0,3,male,28.0,7.23
570,1,3,male,32.0,7.85
571,1,2,male,62.0,10.5
572,1,1,female,53.0,51.48
573,1,1,male,36.0,26.39
574,1,3,female,28.0,7.75
575,0,3,male,16.0,8.05
576,0,3,male,19.0,14.5
577,1,2,female,34.0,13.0
578,1,1,female,39.0,55.9
579,0,3,female,28.0,14.46
580,1,3,male,32.0,7.92
581,1,2,female,25.0,30.0
582,1,1,female,39.0,110.88
583,0,2,male,54.0,26.0
584,0,1,male,36.0,40.12
585,0,3,male,28.0,8.71
586,1,1,female,18.0,79.65
587,0,2,male,47.0,15.0
588,1,1,male,60.0,79.2
589,0,3,male,22.0,8.05
590,0,3,male,28.0,8.05
591,0,3,male,35.0,7.12
592,1,1,female,52.0,78.27
593,0,3,male,47.0,7.25
594,0,3,female,28.0,7.75
595,0,2,male,37.0,26.0
596,0,3,male,36.0,24.15
597,1,2,female,28.0,33.0
598,0,3,male,49.0,0.0
599,0,3,male,28.0,7.22
600,1,1,male,49.0,56.93
601,1,2,female,24.0,27.0
602,0,3,male,28.0,7.9
603,0,1,male,28.0,42.4
604,0,3,male,44.0,8.05
605,1,1,male,35.0,26.55
606,0,3,male,36.0,15.55
607,0,3,male,30.0,7.9
608,1,1,male,27.0,30.5
609,1,2,female,22.0,41.58
610,1,1,female,40.0,153.46
611,0,3,female,39.0,31.28
612,0,3,male,28.0,7.05
613,1,3,female,28.0,15.5
614,0,3,male,28.0,7.75
615,0,3,male,35.0,8.05
616,1,2,female,24.0,65.0
617,0,3,male,34.0,14.4
618,0,3,female,26.0,16.1
619,1,2,female,4.0,39.0
620,0,2,male,26.0,10.5
621,0,3,male,27.0,14.45
622,1,1,male,42.0,52.55
623,1,3,male,20.0,15.74
624,0,3,male,21.0,7.85
625,0,3,male,21.0,16.1
626,0,1,male,61.0,32.32
627,0,2,male,57.0,12.35
628,1,1,female,21.0,77.96
629,0,3,male,26.0,7.9
630,0,3,male,28.0,7.73
631,1,1,male,80.0,30.0
632,0,3,male,51.0,7.05
633,1,1,male,32.0,30.5
634,0,1,male,28.0,0.0
635,0,3,female,9.0,27.9
636,1,2,female,28.0,13.0
637,0,3,male,32.0,7.92
638,0,2,male,31.0,26.25
639,0,3,female,41.0,39.69
640,0,3,male,28.0,16.1
641,0,3,male,20.0,7.85
642,1,1,female,24.0,69.3
643,0,3,female,2.0,27.9
644,1,3,male,28.0,56.5
645,1,3,female,0.75,19.26
646,1,1,male,48.0,76.73
647,0,3,male,19.0,7.9
648,1,1,male,56.0,35.5
649,0,3,male,28.0,7.55
650,1,3,female,23.0,7.55
651,0,3,male,28.0,7.9
652,1,2,female,18.0,23.0
653,0,3,male,21.0,8.43
654,1,3,female,28.0,7.83
655,0,3,female,18.0,6.75
656,0,2,male,24.0,73.5
657,0,3,male,28.0,7.9
658,0,3,female,32.0,15.5
659,0,2,male,23.0,13.0
660,0,1,male,58.0,113.28
661,1,1,male,50.0,133.65
662,0,3,male,40.0,7.22
663,0,1,male,47.0,25.59
664,0,3,male,36.0,7.5
665,1,3,male,20.0,7.92
666,0,2,male,32.0,73.5
667,0,2,male,25.0,13.0
668,0,3,male,28.0,7.78
669,0,3,male,43.0,8.05
670,1,1,female,28.0,52.0
671,1,2,female,40.0,39.0
672,0,1,male,31.0,52.0
673,0,2,male,70.0,10.5
674,1,2,male,31.0,13.0
675,0,2,male,28.0,0.0
676,0,3,male,18.0,7.78
677,0,3,male,24.5,8.05
678,1,3,female,18.0,9.84
679,0,3,female,43.0,46.9
680,1,1,male,36.0,512.33
681,0,3,female,28.0,8.14
682,1,1,male,27.0,76.73
683,0,3,male,20.0,9.22
684,0,3,male,14.0,46.9
685,0,2,male,60.0,39.0
686,0,2,male,25.0,41.58
687,0,3,male,14.0,39.69
688,0,3,male,19.0,10.17
689,0,3,male,18.0,7.8
690,1,1,female,15.0,211.34
691,1,1,male,31.0,57.0
692,1,3,female,4.0,13.42
693,1,3,male,28.0,56.5
694,0,3,male,25.0,7.22
695,0,1,male,60.0,26.55
696,0,2,male,52.0,13.5
697,0,3,male,44.0,8.05
698,1,3,female,28.0,7.73
699,0,1,male,49.0,110.88
700,0,3,male,42.0,7.65
701,1,1,female,18.0,227.52
702,1,1,male,35.0,26.29
703,0,3,female,18.0,14.45
704,0,3,male,25.0,7.74
705,0,3,male,26.0,7.85
706,0,2,male,39.0,26.0
707,1,2,female,45.0,13.5
708,1,1,male,42.0,26.29
709,1,1,female,22.0,151.55
710,1,3,male,28.0,15.25
711,1,1,female,24.0,49.5
712,0,1,male,28.0,26.55
713,1,1,male,48.0,52.0
714,0,3,male,29.0,9.48
715,0,2,male,52.0,13.0
716,0,3,male,19.0,7.65
717,1,1,female,38.0,227.52
718,1,2,female,27.0,10.5
719,0,3,male,28.0,15.5
720,0,3,male,33.0,7.78
721,1,2,female,6.0,33.0
722,0,3,male,17.0,7.05
723,0,2,male,34.0,13.0
724,0,2,male,50.0,13.0
725,1,1,male,27.0,53.1
726,0,3,male,20.0,8.66
727,1,2,female,30.0,21.0
728,1,3,female,28.0,7.74
729,0,2,male,25.0,26.0
730,0,3,female,25.0,7.92
731,1,1,female,29.0,211.34
732,0,3,male,11.0,18.79
733,0,2,male,28.0,0.0
734,0,2,male,23.0,13.0
735,0,2,male,23.0,13.0
736,0,3,male,28.5,16.1
737,0,3,female,48.0,34.38
738,1,1,male,35.0,512.33
739,0,3,male,28.0,7.9
740,0,3,male,28.0,7.9
741,1,1,male,28.0,30.0
742,0,1,male,36.0,78.85
743,1,1,female,21.0,262.38
744,0,3,male,24.0,16.1
745,1,3,male,31.0,7.92
746,0,1,male,70.0,71.0
747,0,3,male,16.0,20.25
748,1,2,female,30.0,13.0
749,0,1,male,19.0,53.1
750,0,3,male,31.0,7.75
751,1,2,female,4.0,23.0
752,1,3,male,6.0,12.48
753,0,3,male,33.0,9.5
754,0,3,male,23.0,7.9
755,1,2,female,48.0,65.0
756,1,2,male,0.67,14.5
757,0,3,male,28.0,7.8
758,0,2,male,18.0,11.5
759,0,3,male,34.0,8.05
760,1,1,female,33.0,86.5
761,0,3,male,28.0,14.5
762,0,3,male,41.0,7.12
763,1,3,male,20.0,7.23
764,1,1,female,36.0,120.0
765,0,3,male,16.0,7.78
766,1,1,female,51.0,77.96
767,0,1,male,28.0,39.6
768,0,3,female,30.5,7.75
769,0,3,male,28.0,24.15
770,0,3,male,32.0,8.36
771,0,3,male,24.0,9.5
772,0,3,male,48.0,7.85
773,0,2,female,57.0,10.5
774,0,3,male,28.0,7.22
775,1,2,female,54.0,23.0
776,0,3,male,18.0,7.75
777,0,3,male,28.0,7.75
778,1,3,female,5.0,12.48
779,0,3,male,28.0,7.74
780,1,1,female,43.0,211.34
781,1,3,female,13.0,7.23
782,1,1,female,17.0,57.0
783,0,1,male,29.0,30.0
784,0,3,male,28.0,23.45
785,0,3,male,25.0,7.05
786,0,3,male,25.0,7.25
787,1,3,female,18.0,7.5
788,0,3,male,8.0,29.12
789,1,3,male,1.0,20.58
790,0,1,male,46.0,79.2
791,0,3,male,28.0,7.75
792,0,2,male,16.0,26.0
793,0,3,female,28.0,69.55
794,0,1,male,28.0,30.7
795,0,3,male,25.0,7.9
796,0,2,male,39.0,13.0
797,1,1,female,49.0,25.93
798,1,3,female,31.0,8.68
799,0,3,male,30.0,7.23
800,0,3,female,30.0,24.15
801,0,2,male,34.0,13.0
802,1,2,female,31.0,26.25
803,1,1,male,11.0,120.0
804,1,3,male,0.42,8.52
805,1,3,male,27.0,6.98
806,0,3,male,31.0,7.78
807,0,1,male,39.0,0.0
808,0,3,female,18.0,7.78
809,0,2,male,39.0,13.0
810,1,1,female,33.0,53.1
811,0,3,male,26.0,7.89
812,0,3,male,39.0,24.15
813,0,2,male,35.0,10.5
814,0,3,female,6.0,31.28
815,0,3,male,30.5,8.05
816,0,1,male,28.0,0.0
817,0,3,female,23.0,7.92
818,0,2,male,31.0,37.0
819,0,3,male,43.0,6.45
820,0,3,male,10.0,27.9
821,1,1,female,52.0,93.5
822,1,3,male,27.0,8.66
823,0,1,male,38.0,0.0
824,1,3,female,27.0,12.48
825,0,3,male,2.0,39.69
826,0,3,male,28.0,6.95
827,0,3,male,28.0,56.5
828,1,2,male,1.0,37.0
829,1,3,male,28.0,7.75
830,1,1,female,62.0,80.0
831,1,3,female,15.0,14.45
832,1,2,male,0.83,18.75
833,0,3,male,28.0,7.23
834,0,3,male,23.0,7.85
835,0,3,male,18.0,8.3
836,1,1,female,39.0,83.16
837,0,3,male,21.0,8.66
838,0,3,male,28.0,8.05
839,1,3,male,32.0,56.5
840,1,1,male,28.0,29.7
841,0,3,male,20.0,7.92
842,0,2,male,16.0,10.5
843,1,1,female,30.0,31.0
844,0,3,male,34.5,6.44
845,0,3,male,17.0,8.66
846,0,3,male,42.0,7.55
847,0,3,male,28.0,69.55
848,0,3,male,35.0,7.9
849,0,2,male,28.0,33.0
850,1,1,female,28.0,89.1
851,0,3,male,4.0,31.28
852,0,3,male,74.0,7.78
853,0,3,female,9.0,15.25
854,1,1,female,16.0,39.4
855,0,2,female,44.0,26.0
856,1,3,female,18.0,9.35
857,1,1,female,45.0,164.87
858,1,1,male,51.0,26.55
859,1,3,female,24.0,19.26
860,0,3,male,28.0,7.23
861,0,3,male,41.0,14.11
862,0,2,male,21.0,11.5
863,1,1,female,48.0,25.93
864,0,3,female,28.0,69.55
865,0,2,male,24.0,13.0
866,1,2,female,42.0,13.0
867,1,2,female,27.0,13.86
868,0,1,male,31.0,50.5
869,0,3,male,28.0,9.5
870,1,3,male,4.0,11.13
871,0,3,male,26.0,7.9
